video_url,title,collected_at
/shorts/lF_-_gT88C4,This is the SLOWEST NYC Subway Train??? #nycsubway,2026-01-18 04:06:45.649556
/shorts/slvQj6sQox4,Average day on the NYC Subway #spiderman #shorts,2026-01-18 04:06:45.649709
/shorts/kKN_V2Cb88w,Woman dies after being set on fire on subway in New York,2026-01-18 04:06:45.649853
/shorts/CJbvefXoUOA,How do blind people use the NYC subway? #shorts,2026-01-18 04:06:45.650157
/shorts/PzvYNoJf6H8,The Museum that has the NYC Subway Cars through History (@newyorktransitmuseum),2026-01-18 04:06:45.650307
/watch?v=zuHib9ADwgA&list=RDzuHib9ADwgA&start_radio=1&pp=ygUPc3Vid2F5IE5ldyBZb3JroAcB0gcJCU8KAYcqIYzv,NY Subway for Kids | New York City Subway Song  by Thomas and Friends MTA Song,2026-01-18 04:06:45.650450
/shorts/V49TguyEkNI,Original World Trade Center door in a NYC subway station,2026-01-18 04:06:45.650610
/shorts/xFbAjbx1sec,Everybody in New York has rich parents or is selling drugs 😂😂😂  Agree or disagree? #subwaytakes,2026-01-18 04:06:45.650755
/watch?v=Db2DBYCegK0&pp=ygUPc3Vid2F5IE5ldyBZb3Jr0gcJCU8KAYcqIYzv,Inside New York's BEST Subway Stations!,2026-01-18 04:06:45.650914
/shorts/Q7_pxpkqhlc,MTA sealed off the entrance to the secret subway tracks in the Canal Street station in New York City,2026-01-18 04:06:45.651198
/shorts/XFcpniL6jjI,Why the NYC Subway is Broken 🚊,2026-01-18 04:06:45.651333
/shorts/vLNwGdqsZms,Standard day on the NYC subway. 🍕🐀#nycsubway #newyork #subway #fyp #foryoupage #shorts,2026-01-18 04:06:45.651468
/shorts/KmYqY5zxrKY,NYC Subway Safety Tips for Solo Travel,2026-01-18 04:06:45.651635
/shorts/dTUwlNqtLYI,Day 1 2025 - police officer lets me through the subway gate. #newyorkcity #2025 #subway,2026-01-18 04:06:45.651772
/shorts/3jLppgqrlXE,Only Cowards Believe in Peace #nyc #subway  #folk,2026-01-18 04:06:45.652000
/shorts/lyblxkKLiKo,🤣😱 “This Ain’t a Jungle Gym!” | NYC Subway Breakdancer | HowToSpellMark,2026-01-18 04:06:45.652141
/shorts/OX1AjWdzKQI,We Need To Talk About The NYC Subway 🗽 #shorts,2026-01-18 04:06:45.652279
/shorts/k3APsrurVm0,Ranking Insane NYC Subway Moments 🚇🔥#shorts #tiktokviral #ranking,2026-01-18 04:06:45.652419
/shorts/B7oMHDKIkRw,Delhi Metro vs New York City Subway #lifeinmetro #newindia #india #america #delhi #iit #delhimetro,2026-01-18 04:06:45.652581
/shorts/4C5VGLzXGZk,ChatGPT vs. the NYC Subway #shorts,2026-01-18 04:06:45.652728
/watch?v=iWVZgvLPMrQ&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,New York’s SECRET Subway | WHAT THE PAST?,2026-01-18 04:06:45.652852
/shorts/40WB8YttAZc,Why the NYC Subway is one of the BEST in the World‼️,2026-01-18 04:06:45.652986
/shorts/E6L0HGRRegk,How to get to the secret abandoned NYC subway station from 1904 #urbanexplorer #nyc,2026-01-18 04:06:45.653107
/shorts/vh6WnkJUo7g,How safe is the NYC subway?,2026-01-18 04:06:45.653221
/shorts/C2tKc14xY5Y,NYC Subway Situations Are Wild #shorts,2026-01-18 04:06:45.653345
/shorts/06OLEi9v_Gw,Cornell student rescues man from NYC subway tracks seconds before train arrives,2026-01-18 04:06:45.653472
/shorts/KCe6vsfBPT8,History of the NYC subway token,2026-01-18 04:06:45.653645
/shorts/CDubvHEiy_Q,The MTA is introducing new modern fare gates. #nyc #subway,2026-01-18 04:06:45.653777
/shorts/0EWgdNZvYK0,NYC subway pusher pictured for the first time,2026-01-18 04:06:45.654042
/shorts/km9p5Gdco_U,New Yorkers who hate LA are EMBARRASSING themselves! #funnypodcast #nyc #newyorkcity #la #interview,2026-01-18 04:06:45.654171
/shorts/bi8Vqhb5pVw,Maniacs on the New York Subway 🚇 #nyc #newyork #subway #standupcomedy,2026-01-18 04:06:45.654305
/shorts/4YfSRPy21TA,Most Average Interaction in New York City,2026-01-18 04:06:45.654437
/watch?v=XgQ0Ex9FyGg&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,Video appears to show children operating NYC subway with transit employee,2026-01-18 04:06:45.654590
/shorts/IFj4hyw4ReA,MTA New York City Transit: Your Ultimate Guide to Exploring the Big Apple!,2026-01-18 04:06:45.654731
/shorts/TqMBDH0C244,You need to know these subway hacks 🚊 #newyorkcity,2026-01-18 04:06:45.654873
/watch?v=koTq1yYXz54&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,How Dangerous Has the NYC Subway Become? | NYC’s Underground Crisis,2026-01-18 04:06:45.655138
/watch?v=0GtID_VRiEc&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,New York’s Lost Subway Entrances,2026-01-18 04:06:45.655270
/watch?v=ayv_bEumI7s&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,Subway stations flood as storm drenches New York City,2026-01-18 04:06:45.655551
/watch?v=3x_1pqfTDe0&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,Why Does New York's Subway have Ghost Stations? (History of NYC public transport) IT'S HISTORY,2026-01-18 04:06:45.655692
/watch?v=eZbhMqYwkWk&pp=ygUPc3Vid2F5IE5ldyBZb3Jr,CBS News New York gets exclusive look at new barriers to prevent subway surfing,2026-01-18 04:06:45.655826
